"year","pop_mean","CI_low","CI_high"
1992,722.35624022841,631.584038470619,883.539871612544
1993,563.509312644651,455.809353626779,761.935359243184
1994,708.822814634092,557.67430168098,903.278923604375
1995,407.289218881413,302.975467589294,565.773630173414
1996,282.145261242329,199.99230175182,394.894585920729
1997,216.358615117711,150.813123686254,307.777658816002
1998,188.754363044242,135.174680227439,269.697517334338
1999,183.661908050955,128.434746361506,267.998472685278
2000,191.372903491918,129.968272458289,276.976675067207
2001,225.679741437404,159.18728866752,315.350737960025
2002,266.989519878432,186.362529205618,377.232970116534
2003,218.128445720619,149.166264447588,316.877633937667
2004,226.96242333159,160.009285775872,328.308792522077
2005,202.45517280147,138.219804756072,295.761245170229
2006,147.667588199138,99.2609099480116,220.174809725743
2007,146.150324486346,97.8949324516136,215.733320671563
2008,111.866238522003,72.0184970497239,172.543451220723
