"","point","mean","low","high","time"
"1","model predict (95% CI)",1048.68859495153,811.856784083338,1351.88206623676,1992
"2","model predict (95% CI)",956.902121992786,729.669028826052,1246.37918321499,1993
"3","model predict (95% CI)",876.53641977932,714.695480455793,1089.76422380687,1994
"4","model predict (95% CI)",467.01336684654,369.956980359031,600.785681876521,1995
"5","model predict (95% CI)",367.160704811479,293.862073092752,473.59187728018,1996
"6","model predict (95% CI)",252.852780825912,201.020603885184,328.153198177449,1997
"7","model predict (95% CI)",244.214629128579,193.941294495802,310.781801410705,1998
"8","model predict (95% CI)",236.861013076912,195.892774922616,294.332971647013,1999
"9","model predict (95% CI)",240.634617564106,195.188123201672,303.275114890748,2000
"10","model predict (95% CI)",292.763683965186,244.673228347266,356.945603467397,2001
"11","model predict (95% CI)",318.152039242533,271.588605286846,379.66741938106,2002
"12","model predict (95% CI)",290.472420263839,244.113121714574,352.658495122326,2003
"13","model predict (95% CI)",317.666377331824,265.621294621951,385.612885113998,2004
"14","model predict (95% CI)",291.081133818067,239.821490284373,355.81613694981,2005
"15","model predict (95% CI)",254.555995279978,210.067681718822,316.452581432787,2006
"16","model predict (95% CI)",223.885396376289,181.096326442477,276.431026721714,2007
"17","model predict (95% CI)",173.264795146375,139.683093254064,218.606305127131,2008
